Id,Shortcut,Name
0,Sonstige,sonstige Parteien
1,CDU/CSU,Christlich Demokratische Union / Christlich-Soziale Union
2,SPD,Sozialdemokratische Partei Deutschlands
3,FDP,Freie Demokratische Partei
4,Grüne,Bündnis 90/Die Grünen
5,Linke,Die Linke
6,Piraten,Piratenpartei
7,AfD,Alternative für Deutschland
8,Freie Wähler,Freie Wähler
9,NPD,Nationaldemokratische Partei Deutschlands
10,SSW,Südschleswigscher Wählerverband
11,Bayernpartei,Bayernpartei e.V.
12,ÖDP,Ökologisch-Demokratische Partei
13,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
14,BVB/FW,Brandenburger Vereinigte Bürgerbewegungen/Freie Wähler
15,Tierschutzpartei,Partei Mensch Umwelt Tierschutz
16,BIW,Bürger in Wut
18,Volt,Volt Deutschland
21,bunt.saar,bunt.saar – sozial-ökologische liste
22,BfTh,Bürger für Thüringen
101,CDU,Christlich Demokratische Union
102,CSU,Christlich-Soziale Union
