"Id","PId","Result"
3035,1,0.265
3035,2,0.19
3035,7,0.19
3035,4,0.135
3035,3,0.09
3035,0,0.08
3035,5,0.05
3034,1,0.27
3034,2,0.19
3034,7,0.19
3034,4,0.13
3034,3,0.09
3034,0,0.08
3034,5,0.05
3033,1,0.27
3033,2,0.2
3033,7,0.17
3033,4,0.15
3033,0,0.08
3033,3,0.08
3033,5,0.05
3032,1,0.27
3032,2,0.21
3032,7,0.19
3032,4,0.13
3032,0,0.08
3032,3,0.08
3032,5,0.04
3031,1,0.29
3031,2,0.18
3031,7,0.18
3031,4,0.15
3031,0,0.09
3031,3,0.07
3031,5,0.04
3030,1,0.28
3030,2,0.205
3030,7,0.18
3030,4,0.13
3030,3,0.085
3030,0,0.075
3030,5,0.045
3029,102,0.4
3029,4,0.15
3029,7,0.12
3029,2,0.11
3029,8,0.11
3029,3,0.05
3029,0,0.04
3029,5,0.02
3028,1,0.29
3028,2,0.18
3028,7,0.17
3028,4,0.14
3028,0,0.1
3028,3,0.07
3028,5,0.05
3027,7,0.3
3027,5,0.25
3027,101,0.175
3027,2,0.1
3027,0,0.075
3027,3,0.06
3027,4,0.04
3026,7,0.32
3026,101,0.31
3026,2,0.095
3026,5,0.095
3026,0,0.07
3026,4,0.07
3026,3,0.04
3025,101,0.37
3025,7,0.26
3025,2,0.12
3025,5,0.1
3025,3,0.06
3025,0,0.05
3025,4,0.04
3024,1,0.28
3024,2,0.2
3024,7,0.18
3024,4,0.13
3024,3,0.09
3024,0,0.08
3024,5,0.04
3023,1,0.29
3023,2,0.18
3023,7,0.16
3023,4,0.15
3023,0,0.09
3023,3,0.08
3023,5,0.05
3022,1,0.28
3022,2,0.2
3022,7,0.17
3022,4,0.16
3022,0,0.08
3022,3,0.06
3022,5,0.05
3021,102,0.41
3021,4,0.125
3021,7,0.12
3021,8,0.12
3021,2,0.1
3021,3,0.06
3021,0,0.05
3021,5,0.015
3020,2,0.28
3020,101,0.27
3020,7,0.14
3020,4,0.11
3020,0,0.07
3020,3,0.06
3020,8,0.05
3020,5,0.02
3019,1,0.3
3019,2,0.18
3019,7,0.16
3019,4,0.14
3019,0,0.1
3019,3,0.07
3019,5,0.05
3018,101,0.29
3018,2,0.235
3018,4,0.16
3018,7,0.13
3018,3,0.07
3018,0,0.065
3018,8,0.03
3018,5,0.02
3017,1,0.275
3017,2,0.205
3017,7,0.17
3017,4,0.14
3017,3,0.085
3017,0,0.075
3017,5,0.05
3016,1,0.28
3016,2,0.21
3016,7,0.17
3016,4,0.14
3016,3,0.08
3016,0,0.07
3016,5,0.05
3015,1,0.28
3015,2,0.18
3015,4,0.16
3015,7,0.16
3015,0,0.09
3015,3,0.08
3015,5,0.05
3014,1,0.32
3014,2,0.18
3014,4,0.16
3014,7,0.15
3014,3,0.08
3014,0,0.06
3014,5,0.05
3013,102,0.39
3013,4,0.16
3013,7,0.12
3013,8,0.12
3013,2,0.11
3013,0,0.06
3013,3,0.04
3012,1,0.3
3012,2,0.17
3012,7,0.16
3012,4,0.15
3012,0,0.1
3012,3,0.08
3012,5,0.04
3011,1,0.28
3011,2,0.2
3011,7,0.165
3011,4,0.145
3011,3,0.085
3011,0,0.075
3011,5,0.05
3010,1,0.28
3010,2,0.2
3010,7,0.16
3010,4,0.15
3010,3,0.09
3010,0,0.08
3010,5,0.04
3009,1,0.29
3009,2,0.18
3009,4,0.17
3009,7,0.16
3009,3,0.08
3009,0,0.07
3009,5,0.05
3008,2,0.29
3008,101,0.255
3008,4,0.13
3008,5,0.11
3008,16,0.1
3008,0,0.06
3008,3,0.055
