"Id","Date","Survey_Start","Survey_End","Surveyed_Persons","Parliament_ID","Institute_ID","Tasker_ID","Method_ID","NoParties"
3035,2023-06-05,2023-06-02,2023-06-05,"2009","0","5","4","3",7
3034,2023-06-03,2023-05-30,2023-06-02,"1205","0","5","3","4",7
3033,2023-06-03,2023-05-23,2023-05-30,"1379","0","3","64","1",7
3032,2023-06-02,2023-06-01,2023-06-02,"1100","0","24","97","3",7
3031,2023-06-01,2023-05-30,2023-05-31,"1302","0","1","10","4",7
3030,2023-05-31,2023-05-26,2023-05-30,"2004","0","5","4","3",7
3029,2023-05-30,2023-05-16,2023-05-22,"1000","2","5","4","3",8
3028,2023-05-30,2023-05-23,2023-05-26,"2001","0","2","63","1",7
3027,2023-05-28,2023-05-16,2023-05-28,"904","16","24","97","3",7
3026,2023-05-28,2023-05-16,2023-05-28,"987","13","24","97","3",7
3025,2023-05-28,2023-05-16,2023-05-28,"732","14","24","97","3",7
3024,2023-05-27,2023-05-22,2023-05-26,"1207","0","5","3","4",7
3023,2023-05-27,2023-05-16,2023-05-23,"1321","0","3","64","1",7
3022,2023-05-26,2023-05-23,2023-05-25,"1257","0","6","5","1",7
3021,2023-05-24,2023-05-21,2023-05-24,"1100","2","24","97","3",8
3020,2023-05-23,2023-05-08,2023-05-15,"1000","11","5","4","3",8
3019,2023-05-23,2023-05-16,2023-05-22,"2003","0","2","63","1",7
3018,2023-05-22,2023-05-17,2023-05-22,"1002","7","24","97","3",8
3017,2023-05-22,2023-05-19,2023-05-22,"2004","0","5","4","3",7
3016,2023-05-20,2023-05-15,2023-05-19,"1195","0","5","3","4",7
3015,2023-05-20,2023-05-09,2023-05-16,"1401","0","3","64","1",7
3014,2023-05-18,2023-04-28,2023-05-10,"1001","0","9","6","2",7
3013,2023-05-16,2023-05-09,2023-05-13,"1176","2","1","53","4",7
3012,2023-05-16,2023-05-09,2023-05-15,"2503","0","2","63","1",7
3011,2023-05-15,2023-05-12,2023-05-15,"2010","0","5","4","3",7
3010,2023-05-14,2023-05-08,2023-05-12,"1205","0","5","3","4",7
3009,2023-05-13,2023-05-03,2023-05-09,"1405","0","3","64","1",7
3008,2023-05-13,2023-05-08,2023-05-13,"700","5","24","97","4",7
3007,2023-05-12,2023-05-05,2023-05-09,"1700","0","13","43","3",8
3006,2023-05-12,2023-05-09,2023-05-10,"1220","0","1","1","4",7
3005,2023-05-11,2023-05-10,2023-05-11,"1088","5","6","5","1",7
3004,2023-05-11,2023-05-05,2023-05-07,"1000","0","17","13","3",7
3001,2023-05-09,2023-05-02,2023-05-08,"1000","5","5","4","4",7
3000,2023-05-09,2023-05-02,2023-05-08,"2505","0","2","63","1",7
2999,2023-05-08,2023-05-05,2023-05-08,"2008","0","5","4","3",7
2998,2023-05-06,2023-05-02,2023-05-05,"1204","0","5","3","4",7
2997,2023-05-06,2023-04-26,2023-05-02,"1394","0","3","64","1",7
2996,2023-05-05,2023-05-02,2023-05-04,"1225","0","6","5","1",7
2995,2023-05-05,2023-04-27,2023-05-04,"1024","5","6","5","1",7
2994,2023-05-04,2023-04-17,2023-04-24,"1000","7","5","4","3",8
2993,2023-05-04,2023-05-02,2023-05-03,"1360","0","1","10","4",7
2992,2023-05-04,2023-05-01,2023-05-03,"1450","5","1","11","4",7
2991,2023-05-03,2023-04-29,2023-05-03,"727","5","24","97","3",7
2990,2023-05-03,2023-04-24,2023-05-02,"1000","10","5","4","3",7
2989,2023-05-03,2023-04-26,2023-05-02,"1005","2","4","12","1",9
3003,2023-05-03,2023-04-20,2023-04-28,"1009","2","2","108","1",8
2988,2023-05-02,2023-04-28,2023-05-02,"2006","0","5","4","3",7
2987,2023-05-02,2023-04-25,2023-04-28,"2007","0","2","63","1",7
3002,2023-05-02,2023-02-16,2023-05-01,"2402","13","16","62","3",7
2985,2023-04-30,2023-04-26,2023-04-30,"1400","0","24","97","3",7
2984,2023-04-30,2023-04-24,2023-04-28,"1202","0","5","3","4",7
2986,2023-04-29,2023-04-21,2023-04-28,"500","5","5","107","4",7
2983,2023-04-29,2023-04-18,2023-04-25,"1426","0","3","64","1",7
2982,2023-04-27,2023-04-17,2023-04-24,"1000","16","5","80","3",7
2981,2023-04-27,2023-04-20,2023-04-25,"1160","15","1","39","4",7
2979,2023-04-26,2023-04-19,2023-04-24,"1200","4","1","70","4",8
2978,2023-04-26,2023-04-03,2023-04-18,"1007","0","9","6","2",7
2980,2023-04-25,2023-04-17,2023-04-24,"1000","15","5","4","3",8
2977,2023-04-25,2023-04-18,2023-04-24,"2506","0","2","63","1",7
2976,2023-04-24,2023-04-21,2023-04-24,"2004","0","5","4","3",7
2975,2023-04-23,2023-04-17,2023-04-21,"1202","0","5","3","4",7
2974,2023-04-22,2023-04-12,2023-04-18,"1407","0","3","64","1",7
2973,2023-04-21,2023-04-18,2023-04-20,"1266","0","6","5","1",7
2972,2023-04-20,2023-04-13,2023-04-17,"1155","5","1","106","4",7
2971,2023-04-18,2023-04-11,2023-04-17,"2508","0","2","63","1",7
2970,2023-04-17,2023-04-14,2023-04-17,"2008","0","5","4","3",7
2969,2023-04-16,2023-04-05,2023-04-14,"1398","7","24","97","4",8
2968,2023-04-15,2023-04-11,2023-04-14,"1204","0","5","3","4",7
2967,2023-04-15,2023-04-05,2023-04-11,"1367","0","3","64","1",7
2966,2023-04-14,2023-04-03,2023-04-11,"1000","8","5","57","4",7
2965,2023-04-14,2023-04-11,2023-04-12,"1204","0","1","1","4",7
2964,2023-04-11,2023-04-06,2023-04-11,"2005","0","5","4","3",7
2963,2023-04-11,2023-04-04,2023-04-06,"1501","0","2","63","1",7
2962,2023-04-09,2023-04-03,2023-04-06,"1204","0","5","3","4",7
2961,2023-04-08,2023-03-29,2023-04-04,"1269","0","3","64","1",7
2959,2023-04-07,2023-04-03,2023-04-04,"1000","0","17","13","1",7
2958,2023-04-06,2023-03-31,2023-04-06,"1000","2","24","97","3",8
2957,2023-04-06,2023-04-03,2023-04-05,"1304","0","1","10","4",7
2956,2023-04-06,2023-03-30,2023-04-04,"1522","0","13","43","3",8
