"Id","Name"
4,"BILD"
7,"GMS"
97,"Institut Wahlkreisprognose"
63,"RTL / n-tv"
43,"YouGov"
56,"Schwäbische Zeitung"
3,"BILD am Sonntag"
6,"Frankfurter Allgemeine Zeitung"
5,"ZDF-Politbarometer"
10,"ARD-Tagesthemen"
67,"pollytix"
38,"Ostsee-Zeitung"
13,"Ipsos"
80,"FUNKE Medien Thüringen"
39,"NDR"
64,"FOCUS"
112,"Märkische Allgemeine Zeitung (MAZ) / Märkische Oderzeitung (MOZ) / Lausitzer Rundschau (LR)"
120,"Radio Hamburg / Die ZEIT"
62,"Sächsische Zeitung"
121,"Osthessen|News"
100,"NRW-Tageszeitungen"
22,"SWR"
46,"SWR Zur Sache Rheinland-Pfalz"
70,"RBB Brandenburg aktuell / Antenne Brandenburg"
98,"Drei Quellen-Mediengruppe"
57,"Nordkurier"
117,"RBB Abendschau / RBB 88.8"
60,"Augsburger Allgemeine"
11,"ARD"
82,"Hamburger Abendblatt"
28,"WDR-Westpol"
25,"SWR / Stuttgarter Zeitung"
40,"Saarländischer Rundfunk"
12,"SAT.1 Bayern"
119,"ARD-Politikmagazin Kontraste"
2,"Stern / RTL"
111,"Sächsische Zeitung / Freie Presse / Leipziger Volkszeitung"
108,"Süddeutsche Zeitung"
118,"General-Anzeiger Bonn"
69,"B.Z."
30,"MDR"
114,"t-online"
35,"Hessischer Rundfunk"
116,"CDU Brandenburg"
115,"Euronews"
113,"Campact"
53,"Bayerischer Rundfunk"
1,"ARD-Morgenmagazin"
16,"RBB / Berliner Morgenpost"
73,"Spiegel Online / Augsburger Allgemeine"
14,"Spiegel Online"
91,"BILD / B.Z."
66,"FAZ / Hitradio FFH"
110,"SAT.1 Bayern / Antenne Bayern"
109,"Die Linke Brandenburg"
107,"Bürger in Wut"
106,"Radio Bremen / Nordsee-Zeitung"
105,"FUNKE NRW Redaktionsgesellschaft"
48,"Weser-Kurier"
104,"Forsa"
101,"Niedersächsische Tageszeitungen"
86,"Spiegel Online / Der Tagesspiegel"
15,"Berliner Zeitung"
26,"SAT.1 NRW"
17,"Der Tagesspiegel"
83,"SPD Brandenburg"
103,"CSU"
65,"DIE ZEIT"
102,"Verlag Nürnberger Presse"
27,"Märkische Allgemeine"
18,"Cicero"
41,"Radio Hamburg"
95,"NDR / Ostsee-Zeitung / Schweriner Volkszeitung"
54,"Leipziger Volkszeitung"
99,"Der Hauptstadtbrief"
96,"FDP Bayern"
34,"BR-Politikmagazin Kontrovers"
94,"Märkische Oderzeitung (MOZ)"
93,"WDR"
90,"Körber-Stiftung"
36,"SPD Niedersachsen"
42,"Kölner Stadt-Anzeiger / Express"
45,"RBB Brandenburg aktuell"
31,"Universität Hamburg"
47,"RedaktionsNetzwerk Deutschland (RND)"
89,"Rheinische Post"
88,"NDR / Ostsee-Zeitung"
87,"Hamburg Zwei"
85,"DIE ZEIT / Körber-Stiftung"
37,"Radio Bremen"
84,"CDU Sachsen"
81,"Rheinische Post / Bonner General-Anzeiger / Zeitungsverlag Aachen"
76,"Spiegel Online / Hessische Niedersächsische Allgemeine"
79,"renewEU"
78,"Hessische Niedersächsische Allgemeine"
77,"CDU Bremen"
75,"Thüringer Allgemeine"
74,"SPD Bremen"
72,"Schweriner Volkszeitung"
71,"Landeszentrale für politische Bildung Sachsen-Anhalt"
68,"BILD / WELT"
59,"Spiegel Online / Hannoversche Allgemeine Zeitung"
58,"CDU Niedersachsen"
19,"Rheinpfalz"
44,"Spiegel Online / RP Online"
21,"Stern / RTL / Kölner Stadt-Anzeiger"
29,"Wochenmagazin Forum"
