"Id","Shortcut","Name"
0,"Bundestag","Bundestag"
2,"Bayern","Bayerischer Landtag"
16,"Thüringen","Thüringischer Landtag"
13,"Sachsen","Sächsischer Landtag"
14,"Sachsen-Anhalt","Landtag von Sachsen-Anhalt"
11,"Rheinland-Pfalz","Landtag von Rheinland-Pfalz"
7,"Hessen","Hessischer Landtag"
5,"Bremen","Bremische Bürgerschaft"
10,"Nordrhein-Westfalen (NRW)","Landtag von Nordrhein-Westfalen"
15,"Schleswig-Holstein","Landtag von Schleswig-Holstein"
4,"Brandenburg","Brandenburgischer Landtag"
8,"Mecklenburg-Vorpommern","Landtag von Mecklenburg-Vorpommern"
3,"Berlin","Berliner Abgeordnetenhaus"
1,"Baden-Württemberg","Landtag von Baden-Württemberg"
12,"Saarland","Saarländischer Landtag"
9,"Niedersachsen","Niedersächsischer Landtag"
17,"Europäisches Parlament","Europäisches Parlament"
6,"Hamburg","Hamburgische Bürgerschaft"
