"Id","Shortcut","Name"
7,"AfD","Alternative für Deutschland"
11,"Bayernpartei","Bayernpartei e.V."
14,"BVB/FW","Brandenburger Vereinigte Bürgerbewegungen/Freie Wähler"
4,"Grüne","Bündnis 90/Die Grünen"
21,"bunt.saar","bunt.saar – sozial-ökologische liste"
22,"BfTh","Bürger für Thüringen"
16,"BIW","Bürger in Wut"
1,"CDU/CSU","Christlich Demokratische Union / Christlich-Soziale Union"
101,"CDU","Christlich Demokratische Union"
102,"CSU","Christlich-Soziale Union"
5,"Linke","Die Linke"
3,"FDP","Freie Demokratische Partei"
8,"Freie Wähler","Freie Wähler"
9,"NPD","Nationaldemokratische Partei Deutschlands"
12,"ÖDP","Ökologisch-Demokratische Partei"
13,"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
15,"Tierschutzpartei","Partei Mensch Umwelt Tierschutz"
6,"Piraten","Piratenpartei"
2,"SPD","Sozialdemokratische Partei Deutschlands"
10,"SSW","Südschleswigscher Wählerverband"
18,"Volt","Volt Deutschland"
0,"Sonstige","sonstige Parteien"
