"Id","PId","Result"
3035,1,26.5
3035,2,19
3035,7,19
3035,4,13.5
3035,3,9
3035,0,8
3035,5,5
3034,1,27
3034,2,19
3034,7,19
3034,4,13
3034,3,9
3034,0,8
3034,5,5
3033,1,27
3033,2,20
3033,7,17
3033,4,15
3033,0,8
3033,3,8
3033,5,5
3032,1,27
3032,2,21
3032,7,19
3032,4,13
3032,0,8
3032,3,8
3032,5,4
3031,1,29
3031,2,18
3031,7,18
3031,4,15
3031,0,9
3031,3,7
3031,5,4
3030,1,28
3030,2,20.5
3030,7,18
3030,4,13
3030,3,8.5
3030,0,7.5
3030,5,4.5
3029,102,40
3029,4,15
3029,7,12
3029,2,11
3029,8,11
3029,3,5
3029,0,4
3029,5,2
3028,1,29
3028,2,18
3028,7,17
3028,4,14
3028,0,10
3028,3,7
3028,5,5
3027,7,30
3027,5,25
3027,101,17.5
3027,2,10
3027,0,7.5
3027,3,6
3027,4,4
3026,7,32
3026,101,31
3026,2,9.5
3026,5,9.5
3026,0,7
3026,4,7
3026,3,4
3025,101,37
3025,7,26
3025,2,12
3025,5,10
3025,3,6
3025,0,5
3025,4,4
3024,1,28
3024,2,20
3024,7,18
3024,4,13
3024,3,9
3024,0,8
3024,5,4
3023,1,29
3023,2,18
3023,7,16
3023,4,15
3023,0,9
3023,3,8
3023,5,5
3022,1,28
3022,2,20
3022,7,17
3022,4,16
3022,0,8
3022,3,6
3022,5,5
3021,102,41
3021,4,12.5
3021,7,12
3021,8,12
3021,2,10
3021,3,6
3021,0,5
3021,5,1.5
3020,2,28
3020,101,27
3020,7,14
3020,4,11
3020,0,7
3020,3,6
3020,8,5
3020,5,2
3019,1,30
3019,2,18
3019,7,16
3019,4,14
3019,0,10
3019,3,7
3019,5,5
3018,101,29
3018,2,23.5
3018,4,16
3018,7,13
3018,3,7
3018,0,6.5
3018,8,3
3018,5,2
3017,1,27.5
3017,2,20.5
3017,7,17
3017,4,14
3017,3,8.5
3017,0,7.5
3017,5,5
3016,1,28
3016,2,21
3016,7,17
3016,4,14
3016,3,8
3016,0,7
3016,5,5
3015,1,28
3015,2,18
3015,4,16
3015,7,16
3015,0,9
3015,3,8
3015,5,5
3014,1,32
3014,2,18
3014,4,16
3014,7,15
3014,3,8
3014,0,6
3014,5,5
3013,102,39
3013,4,16
3013,7,12
3013,8,12
3013,2,11
3013,0,6
3013,3,4
3012,1,30
3012,2,17
3012,7,16
3012,4,15
3012,0,10
3012,3,8
3012,5,4
3011,1,28
3011,2,20
3011,7,16.5
3011,4,14.5
3011,3,8.5
3011,0,7.5
3011,5,5
3010,1,28
3010,2,20
3010,7,16
3010,4,15
3010,3,9
3010,0,8
3010,5,4
3009,1,29
3009,2,18
3009,4,17
3009,7,16
3009,3,8
3009,0,7
3009,5,5
3008,2,29
3008,101,25.5
3008,4,13
3008,5,11
3008,16,10
3008,0,6
3008,3,5.5
3007,1,31
3007,7,17
3007,2,16
3007,4,16
3007,0,7
3007,5,6
3007,3,5
3007,8,2
3006,1,28
3006,2,18
3006,4,16
3006,7,16
3006,0,9
3006,3,8
3006,5,5
3005,2,29
3005,101,26
3005,4,13
3005,5,11
3005,16,10
3005,3,6
3005,0,5
3004,1,29
3004,2,19
3004,7,16
3004,4,15
3004,0,8
3004,3,8
3004,5,5
3001,2,30
3001,101,28
3001,4,12
3001,5,9
3001,16,8
3001,0,7
3001,3,6
3000,1,29
3000,2,18
3000,4,16
3000,7,16
3000,0,10
3000,3,7
3000,5,4
2999,1,28
2999,2,20
2999,7,16.5
2999,4,14
2999,3,9
2999,0,8
2999,5,4.5
2998,1,28
2998,2,20
2998,7,16
2998,4,14
2998,0,9
2998,3,9
2998,5,4
2997,1,31
2997,2,17
2997,4,16
2997,7,16
2997,0,8
2997,3,8
2997,5,4
2996,1,30
2996,2,19
2996,4,17
2996,7,15
2996,0,8
2996,3,6
2996,5,5
2995,2,30
2995,101,27
2995,4,13
2995,5,9
2995,16,9
